"game_id","season","era","home_team_name","away_team_name","home_team_id","away_team_id","true_home","bye","mnf","tnf","point_diff","spread_line","days_since_last_game_home_team","days_since_last_game_away_team"
2002111707,2002,"2002-10","LAC","SF",18,29,1,0,0,0,3,-2.5,7,7
2002112401,2002,"2002-10","MIA","LAC",20,18,1,0,0,0,27,4,7,7
2002120811,2002,"2002-10","LAC","LV",18,19,1,0,1,0,-20,-3.5,7,6
2002122909,2002,"2002-10","LAC","SEA",18,28,1,0,0,0,-3,3,7,7
2002090809,2002,"2002-10","LV","SEA",19,28,1,0,0,0,14,7.5,NA,NA
2002091514,2002,"2002-10","PIT","LV",27,19,1,0,-1,0,-13,4,6,7
2002092909,2002,"2002-10","LV","TEN",19,31,1,1,0,0,27,6.5,14,7
2002110305,2002,"2002-10","LV","SF",19,29,1,0,0,0,-3,3,7,7
2002111714,2002,"2002-10","LV","NE",19,22,1,0,-1,0,7,4.5,6,7
2002120200,2002,"2002-10","LV","NYJ",19,25,1,0,0,0,6,6,8,8
2002121512,2002,"2002-10","MIA","LV",20,19,1,0,-1,0,6,1.5,6,7
2002092201,2002,"2002-10","MIA","NYJ",20,25,1,0,0,0,27,6,7,7
2002100604,2002,"2002-10","MIA","NE",20,22,1,0,0,0,13,3,7,7
2002111011,2002,"2002-10","NYJ","MIA",25,20,1,0,1,0,3,2.5,7,6
2002122100,2002,"2002-10","MIN","MIA",21,20,1,0,0,0,3,-3,6,6
2002122910,2002,"2002-10","NE","MIA",22,20,1,0,0,0,3,-2,7,8
2002092911,2002,"2002-10","SEA","MIN",28,21,1,0,0,0,25,3,7,7
2002102010,2002,"2002-10","NYJ","MIN",25,21,1,1,0,0,13,3,14,7
2002110306,2002,"2002-10","TB","MIN",30,21,1,0,0,0,14,7.5,7,7
2002111012,2002,"2002-10","MIN","NYG",21,24,1,0,0,0,-7,-1.5,7,7
2002112413,2002,"2002-10","NE","MIN",22,21,1,0,0,0,7,8,7,7
2002121508,2002,"2002-10","NO","MIN",23,21,1,0,0,0,-1,7,7,7
2002090900,2002,"2002-10","NE","PIT",22,27,1,0,0,0,16,-2.5,NA,NA
2002091512,2002,"2002-10","NYJ","NE",25,22,1,0,1,0,-37,1,7,6
2002121600,2002,"2002-10","TEN","NE",31,22,1,0,0,0,17,2.5,8,8
2002122211,2002,"2002-10","NE","NYJ",22,25,1,0,-1,0,-13,3.5,6,7
2002090807,2002,"2002-10","TB","NO",30,23,1,0,0,0,-6,6,NA,NA
2002100610,2002,"2002-10","NO","PIT",23,27,1,0,0,0,3,3,7,7
2002101301,2002,"2002-10","WAS","NO",32,23,1,0,0,0,-16,-1.5,7,7
2002102001,2002,"2002-10","NO","SF",23,29,1,0,1,0,8,1.5,7,6
2002120112,2002,"2002-10","NO","TB",23,30,1,0,0,0,3,-1.5,7,7
2002090500,2002,"2002-10","NYG","SF",24,29,1,0,0,0,-3,-4,NA,NA
2002092209,2002,"2002-10","NYG","SEA",24,28,1,0,0,0,3,5.5,7,7
2002102800,2002,"2002-10","PHI","NYG",26,24,1,-1,0,0,14,7,8,15
2002111703,2002,"2002-10","NYG","WAS",24,32,1,0,0,0,2,3.5,7,7
2002120103,2002,"2002-10","NYG","TEN",24,31,1,0,0,0,-3,3,7,7
2002120812,2002,"2002-10","WAS","NYG",32,24,1,0,0,1,-6,3,10,7
2002122800,2002,"2002-10","NYG","PHI",24,26,1,0,-1,0,3,1,6,7
2002090803,2002,"2002-10","TEN","PHI",31,26,1,0,0,0,3,2,NA,NA
2002091600,2002,"2002-10","WAS","PHI",32,26,1,0,0,0,-30,-3,8,8
2002102003,2002,"2002-10","PHI","TB",26,30,1,1,0,0,10,3,14,7
2002112500,2002,"2002-10","SF","PHI",29,26,1,0,0,0,-21,7,8,8
2002120807,2002,"2002-10","SEA","PHI",28,26,1,0,0,0,-7,-3,7,7
2002121505,2002,"2002-10","PHI","WAS",26,32,1,0,0,0,13,7.5,7,7
2002111701,2002,"2002-10","TEN","PIT",31,27,1,0,0,0,8,-3,7,7
2002122300,2002,"2002-10","TB","PIT",30,27,1,0,0,0,-10,4.5,8,8
2002101400,2002,"2002-10","SEA","SF",28,29,1,1,0,0,-7,-3,15,8
2002110309,2002,"2002-10","SEA","WAS",28,32,1,0,0,0,-11,2,7,7
2002120109,2002,"2002-10","SF","SEA",29,28,1,0,-1,0,7,8.5,6,7
2002092211,2002,"2002-10","SF","WAS",29,32,1,0,1,0,10,10,7,6
2002100601,2002,"2002-10","TEN","WAS",31,32,1,-1,0,0,-17,3.5,7,14
2003090700,2003,"2002-10","DET","ARI",11,1,1,0,0,0,18,3.5,NA,NA
2003091410,2003,"2002-10","ARI","SEA",1,28,1,0,0,0,-38,-5,7,7
2003092104,2003,"2002-10","ARI","GB",1,12,1,0,0,0,7,-7.5,7,7
2003092800,2003,"2002-10","LA","ARI",17,1,1,0,0,0,24,11.5,7,7
2003100500,2003,"2002-10","DAL","ARI",9,1,1,0,0,0,17,7.5,7,7
2003101211,2003,"2002-10","ARI","BAL",1,3,1,-1,0,0,-8,-6.5,7,14
2003102611,2003,"2002-10","ARI","SF",1,29,1,1,0,0,3,-7,14,7
2003110204,2003,"2002-10","ARI","CIN",1,7,1,0,0,0,3,-3,7,7
2003110900,2003,"2002-10","PIT","ARI",27,1,1,0,0,0,13,7,7,7
2003111600,2003,"2002-10","CLE","ARI",8,1,1,0,0,0,38,5,7,7
2003112305,2003,"2002-10","ARI","LA",1,17,1,0,0,0,-3,-7,7,7
2003113000,2003,"2002-10","CHI","ARI",6,1,1,0,0,0,25,4.5,7,7
2003120710,2003,"2002-10","SF","ARI",29,1,1,0,0,0,36,10.5,7,7
2003121405,2003,"2002-10","ARI","CAR",1,5,1,0,0,0,-3,-7,7,7
2003122110,2003,"2002-10","SEA","ARI",28,1,1,0,0,0,18,15.5,7,7
2003122809,2003,"2002-10","ARI","MIN",1,21,1,0,0,0,1,-7.5,7,8
2003090710,2003,"2002-10","DAL","ATL",9,2,1,0,0,0,-14,2,NA,NA
2003091408,2003,"2002-10","ATL","WAS",2,32,1,0,0,-1,-2,3,7,10
2003092100,2003,"2002-10","ATL","TB",2,30,1,0,0,0,-21,-6.5,7,7
2003092807,2003,"2002-10","CAR","ATL",5,2,1,1,0,0,20,6,14,7
